PH_NO,STATE,CITY,ROUND_TRIP
512-735-4535,PA,Philadelphia,Y
215-728-1848,MD,Annapolis,N
410-289-2676,DC,Washington,N
202-470-9088,VT,Waterbury,Y
802-950-9329,MI,Grand Haven,Y
616-652-3657,NY,Staten Island,Y
718-272-8945,CA,Sanger,Y
559-641-4105,OH,Maple Heights,Y
216-763-1589,CA,Poway,Y
858-605-8410,OK,Broken Arrow,N
918-650-7050,AK,Anchorage,N
907-484-7958,MI,Flint,N
810-650-1356,TX,Dallas,Y
214-301-6242,TX,Houston,Y
713-280-2040,CA,South Pasadena,Y
626-692-8141,NY,Farmingdale,Y
516-200-2208,CA,Guerneville,N
707-417-1127,PA,Warminster,N
215-944-3431,NY,New York,Y
212-845-1634,PA,New Hope,Y
215-743-1699,MA,Lynn,Y
781-450-4551,MD,Towson,Y
410-400-8640,RI,Providence,Y
401-228-8446,IL,Rockford,Y
815-632-4004,PA,New Holland,N
717-849-5917,NJ,Fair Lawn,N
201-303-1840,NJ,Barrington,N
856-648-9972,TX,Houston,Y
713-919-2102,CO,Englewood,Y
303-726-3715,NY,Forest Hills,Y
718-947-1127,MA,New Bedford,Y
508-839-3003,MI,Gaylord,N
989-455-7637,NC,Mooresville,N
704-822-6509,CA,San Diego,Y
619-470-9983,NY,New York,Y
212-677-6056,PA,Philadelphia,Y
215-772-6291,PA,Allentown,Y
610-645-3664,OH,Maumee,Y
419-923-4378,NJ,Burlington,Y
609-971-1385,NY,Spring Valley,N
845-313-2598,CA,Temecula,N
951-241-9967,AZ,Phoenix,N
602-862-8518,NJ,Long Branch,Y
732-390-2006,HI,Aiea,Y
808-606-5782,TX,Conroe,Y
936-723-2011,NC,High Point,Y
336-796-4553,MO,Saint Louis,N
314-648-3896,NY,Brooklyn,N
718-447-2961,CA,Cypress,Y
714-720-4340,TX,Conroe,Y
936-634-2988,NV,Las Vegas,Y
702-418-7156,OH,Cincinnati,Y
513-766-6437,OR,Portland,Y
503-629-8574,KS,Topeka,Y
785-651-8348,NY,New Rochelle,N
914-847-2927,CA,San Clemente,N
949-375-1579,WY,Casper,N
307-309-2305,NC,Wilmington,Y
910-253-2178,WI,Milwaukee,Y
414-373-4124,CO,Denver,Y
303-788-3993,IA,Des Moines,Y
515-484-5580,NY,New York,N
212-530-1469,RI,Providence,N
401-335-4898,MA,Revere,Y
781-930-6769,TN,Nashville,Y
615-704-5888,CA,Culver City,Y
310-607-6757,PA,Lancaster,Y
717-750-9553,IA,Burlington,Y
319-519-8746,OH,Cincinnati,Y
513-977-5936,NJ,Somerville,N
908-878-6009,NJ,Seaside Heights,N
732-513-5262,CA,Escondido,N
760-239-7070,NY,Poughkeepsie,Y
845-993-5354,NY,Mamaroneck,Y
914-946-9719,CA,Long Beach,Y
562-576-7447,OK,Oklahoma City,Y
405-974-3547,ME,Cornish,N
207-739-2311,NJ,South Plainfield,N
908-893-2182,IL,Chicago,Y
312-483-4104,PA,Kingston,Y
570-497-3840,CA,San Jose,Y
408-843-2942,HI,Honolulu,Y
808-327-2866,IL,Elk Grove Village,Y
847-665-3500,CA,Modesto,Y
209-525-6208,MI,Warren,N
586-975-2567,MD,Gaithersburg,N
301-469-6894,OH,Warren,N
330-319-9164,TX,Corpus Christi,Y
361-719-3164,AL,Birmingham,Y
205-849-9251,CA,Tracy,Y
209-927-9762,NJ,Bridgewater,Y
908-691-2625,IL,Schaumburg,N
847-336-2437,NY,New York,N
212-571-8919,MI,Holland,Y
616-811-4825,NM,Clovis,Y
505-374-3318,CA,Los Angeles,Y
310-289-3570,CA,San Ramon,Y
925-206-8024,NJ,Newark,Y
973-389-9632,CA,San Carlos,Y
650-417-8666,OH,Columbus,N
614-693-1886,NY,New York,N
212-466-9944,FL,Daytona Beach,N
386-493-4547,NV,Reno,Y
775-599-8308,CA,Lynwood,Y
310-331-1808,GA,Atlanta,Y
404-325-7675,CA,South San Francisco,Y
650-704-3241,NY,Middletown,N
845-300-3236,MI,Niles,N
269-768-4001,OH,Cleveland,Y
216-707-2309,TX,Kerrville,Y
830-774-9705,OH,Painesville,Y
440-247-3258,IL,Chicago,Y
773-280-1997,FL,Crystal River,Y
352-222-5074,NJ,Fairfield,Y
973-892-1166,MI,Niles,N
269-621-8903,NJ,Williamstown,N
856-371-3157,MO,Sedalia,N
660-332-8286,NY,New York,Y
212-882-1565,NJ,Spotswood,Y
732-676-3960,RI,Providence,Y
401-889-7529,NJ,Newark,Y
973-548-5507,VA,Colonial Heights,N
804-736-9551,TX,Amarillo,N
806-360-3703,WA,Twisp,Y
509-912-8915,CO,Aurora,Y
303-882-2020,KS,Abilene,Y
785-867-1151,PA,Kennett Square,Y
610-941-9537,IN,Indianapolis,Y
317-329-1574,ID,Murtaugh,Y
208-564-7173,PA,Feasterville Trevose,N
215-637-7731,OH,Cleveland,N
216-967-8472,VA,Springfield,N
703-295-1349,MN,Minneapolis,Y
952-225-2556,WY,Casper,Y
307-250-2579,PA,Pittsburgh,Y
412-287-1553,TX,Waco,Y
254-844-2988,LA,Lafayette,N
337-670-5888,PA,Pittsburgh,N
412-362-1134,NY,New York,Y
212-212-5718,NY,Elmhurst,Y
718-862-4567,CA,San Jose,Y
408-384-3661,NJ,Trenton,Y
609-261-7584,NJ,Jersey City,Y
201-647-9010,MN,Burnsville,Y
952-651-2402,WI,Milwaukee,N
414-548-3648,AK,Chugiak,N
907-750-2601,NJ,Edison,N
732-410-9786,MI,Rochester,Y
248-995-2132,OH,Toledo,Y
419-944-5776,PA,Chester,Y
610-716-4666,OH,Maple Heights,Y
216-243-7971,NY,Long Island City,N
718-495-7794,PA,Pittsburgh,N
412-440-2941,OH,Columbus,Y
614-532-1963,FL,Hudson,Y
727-777-1521,MI,Lansing,Y
517-545-7007,DC,Washington,Y
202-869-1143,OR,Portland,Y
503-339-1394,NM,Albuquerque,Y
505-645-6574,MD,Laurel,N
301-458-1102,DE,New Castle,N
302-295-4322,WV,Bluefield,N
304-586-1429,DC,Washington,Y
202-228-5811,TX,Euless,Y
817-966-6854,NJ,Irvington,Y
973-378-4804,FL,Crystal River,Y
352-846-2469,NY,Jamestown,N
716-355-2268,PA,Philadelphia,N
215-545-3658,FL,Orlando,Y
407-255-1004,NH,Manchester,Y
603-629-5777,OH,Cincinnati,Y
513-297-8363,FL,Melbourne,Y
321-920-2545,TN,Clarksville,Y
931-786-2279,NY,Farmingdale,Y
516-303-7327,KY,Bowling Green,N
270-359-2272,CA,Hacienda Heights,N
626-829-6353,IL,Forest Park,N
708-316-1794,NJ,Wildwood,Y
609-629-8163,CA,Torrance,Y
310-428-6648,WY,Cheyenne,Y
307-445-4582,NJ,Paterson,Y
973-368-3633,VA,Williamsburg,N
757-495-9247,CA,Encino,N
818-848-8129,AZ,Tempe,Y
480-891-9252,NY,New York,Y
212-218-4221,NJ,Edison,Y
732-378-4791,WI,Green Bay,Y
920-685-9408,CA,Huntington Beach,Y
714-828-1764,FL,Plant City,Y
813-423-2696,NY,Middletown,N
845-939-5863,FL,Saint Petersburg,N
727-206-4424,IN,Indianapolis,N
317-398-5702,MA,New Bedford,Y
508-950-8337,CT,Greenwich,Y
203-919-9628,NJ,East Rutherford,Y
201-450-9999,TN,Jackson,Y
731-898-6284,SC,Spartanburg,N
864-429-9365,OH,Mount Vernon,N
740-528-6665,NY,Middletown,Y
845-745-8237,NY,Lindenhurst,Y
631-933-2270,MA,Falmouth,Y
508-289-8203,NJ,Marlton,Y
856-501-7849,OH,Cincinnati,Y
513-749-5157,DE,Wilmington,Y
302-217-7950,IN,Merrillville,N
219-885-3774,IL,Chicago,N
773-695-2679,CA,Gardena,N
310-892-1448,MD,Glen Burnie,Y
410-462-6209,HI,Aiea,Y
808-936-6291,NJ,Elizabeth,Y
908-901-9837,CA,South San Francisco,Y
650-563-6590,FL,Orlando,N
407-986-3906,NJ,Thorofare,N
856-587-6947,NJ,Hammonton,Y
609-220-7700,CA,San Francisco,Y
415-555-1649,NJ,Trenton,Y
609-811-2183,MI,Byron Center,Y
616-840-8143,MN,Minneapolis,Y
612-740-6186,CA,Temecula,Y
951-963-4544,NJ,Hackensack,N
201-291-2482,TX,Fort Worth,N
817-727-1763,MA,Leominster,N
978-853-9331,OH,Cleveland,Y
216-573-8018,OH,Cincinnati,Y
513-483-4034,AK,Nome,Y
907-846-4087,NY,New York,Y
212-899-1001,PA,Pittsburgh,N
412-590-7138,WI,Milwaukee,N
414-646-5927,WI,Janesville,Y
608-752-7327,CA,Oakland,Y
510-677-2480,DE,Wilmington,Y
302-706-2932,NJ,Palmyra,Y
856-834-3957,IN,Indianapolis,Y
317-564-5919,NV,Reno,Y
775-647-5937,CA,Anaheim,N
714-714-1353,CA,Cupertino,N
408-357-9770,IL,Rockford,N
815-328-3837,NM,Zuni,Y
505-217-5255,MN,Minneapolis,Y
952-811-3076,IL,Palatine,Y
847-309-9454,MD,Baltimore,Y
410-958-5175,NY,Commack,N
631-623-8766,OH,Sylvania,N
419-486-5476,UT,Salt Lake City,Y
801-277-4708,CA,San Carlos,Y
650-707-3866,CA,Northridge,Y
818-665-3121,CO,Evergreen,Y
303-839-8128,CA,Costa Mesa,Y
949-482-4544,NJ,South Plainfield,Y
908-303-5264,TX,Irving,N
972-559-8637,UT,Salt Lake City,N
801-883-4882,NJ,Mullica Hill,N
856-602-6673,FL,Crystal River,Y
352-648-1153,LA,Lafayette,Y
337-357-9604,NC,Greensboro,Y
336-443-2548,ID,Idaho Falls,Y
208-767-4761,CA,San Carlos,N
650-251-9335,NY,New York,N
212-957-3507,CT,New Haven,Y
203-612-4231,TX,Killeen,Y
254-596-1364,TX,Richardson,Y
972-688-3662,CA,Daly City,Y
650-247-5490,NJ,Paulsboro,Y
856-308-6504,MO,Strafford,Y
417-703-2004,AL,Huntsville,N
256-281-5309,WI,Milwaukee,N
414-274-6514,WI,Stratford,N
715-334-6359,MI,Detroit,Y
313-683-5982,NJ,South River,Y
732-793-2187,OK,Oklahoma City,Y
405-316-8608,MI,Niles,Y
269-513-7664,CT,Bethel,N
203-770-3966,MN,Burnsville,N
952-772-5532,NJ,Cherry Hill,Y
856-894-5528,MI,Adrian,Y
517-404-7438,NY,Rochester,Y
585-794-8233,MD,Hyattsville,Y
301-431-6906,WI,Milwaukee,Y
414-450-1767,OH,Youngstown,Y
330-848-1490,CA,Encino,N
818-627-8847,CA,Bakersfield,N
661-969-1174,OH,Akron,N
330-719-2487,CA,Lancaster,Y
661-690-1464,IA,Davenport,Y
563-528-4573,NY,Watervliet,Y
518-306-3948,MD,Aberdeen,Y
410-785-1083,CO,Canon City,N
719-273-5797,MD,Gaithersburg,N
301-689-5713,CA,Costa Mesa,Y
949-366-4604,CA,Sacramento,Y
916-570-4455,NJ,Bayonne,Y
201-960-9219,TX,Waco,Y
254-663-9527,IA,Cedar Rapids,Y
319-364-9983,NJ,Fort Lee,Y
201-813-6479,NV,Reno,N
775-216-2052,CA,San Bernardino,N
909-405-3304,PA,Clarks Summit,N
570-220-2035,OH,Toledo,Y
419-889-3672,OK,Tulsa,Y
918-572-6640,IN,Anderson,Y
765-386-2840,CA,Palmdale,Y
661-282-1921,NM,Albuquerque,N
505-862-9058,TX,Houston,N
713-409-3402,NY,New York,Y
212-232-1707,KS,Abilene,Y
785-555-3694,NY,Garden City,Y
516-464-4239,NY,New York,Y
212-957-3576,NJ,Berlin,Y
856-391-6783,GA,Marietta,Y
770-960-9968,PA,Bensalem,N
215-814-1806,CA,Escondido,N
760-582-6030,PA,Harleysville,N
215-361-3688,NJ,Nutley,Y
973-978-6562,KY,Louisville,Y
502-785-8782,NJ,Manville,Y
908-895-7639,LA,New Orleans,Y
504-530-2118,WI,Appleton,N
920-371-2282,IL,Midlothian,N
708-612-3299,NY,New York,Y
212-861-7398,VA,Lawrenceville,Y
434-486-6148,VT,Waterbury,Y
802-343-5205,NJ,Ringoes,Y
908-881-4609,FL,Tampa,Y
813-874-9098,NY,Lansing,Y
607-926-1426,CA,Los Angeles,N
323-440-4201,NJ,Paterson,N
973-855-5787,MA,Southbridge,N
508-719-3376,NJ,Cedar Grove,Y
973-667-5565,DE,Wilmington,Y
302-611-4077,NJ,Passaic,Y
973-670-5458,CA,San Leandro,Y
510-575-7878,IN,Huntington,N
260-894-1288,CA,San Francisco,N
415-965-4529,NJ,Englewood,Y
201-525-4742,CA,Santa Ana,Y
714-496-1105,NY,New York,Y
212-610-4353,NM,Farmington,Y
505-390-9181,WV,Princeton,Y
304-623-4149,CA,Pomona,Y
909-963-7474,OH,Cincinnati,N
513-542-8895,MA,Plainville,N
508-967-9413,MI,Alpena,N
989-885-7828,SD,Sioux Falls,Y
605-474-6882,CO,Denver,Y
303-307-8076,CA,Burbank,Y
818-407-6367,GA,Smyrna,Y
770-412-7166,MD,Bethesda,N
301-352-4645,PA,Phoenixville,N
610-668-6369,OR,The Dalles,Y
541-999-1904,OH,Batavia,Y
513-228-5329,CA,Costa Mesa,Y
949-525-2504,FL,Lake Mary,Y
407-396-6989,IN,Richmond,Y
765-873-1096,CA,North Highlands,Y
916-663-6447,CA,Glendale,N
818-205-6542,MA,Cambridge,N
617-789-3546,CA,North Hollywood,N
818-740-3481,IL,Chicago,Y
773-208-7451,MN,Minneapolis,Y
612-298-6267,CA,Oakland,Y
510-756-8391,CA,Sacramento,Y
916-607-4196,CO,Colorado Springs,N
719-411-4017,NY,New York,N
212-456-3444,CA,Lawndale,Y
310-675-4166,VT,Waterbury,Y
802-750-1447,IA,Urbandale,Y
515-537-1841,OH,Toledo,Y
419-682-3569,OK,Norman,Y
405-922-1628,NY,New York,Y
212-545-3686,CA,Los Angeles,N
323-589-8894,IN,Indianapolis,N
317-665-6630,VA,Newport News,N
757-370-9218,CA,San Francisco,Y
415-715-7449,NJ,Freehold,Y
732-547-5234,MA,Tewksbury,Y
978-580-7267,OR,Portland,Y
503-650-8799,CA,North Hollywood,N
818-429-4184,OR,Portland,N
503-929-7604,PA,Philadelphia,Y
215-922-2361,TX,San Antonio,Y
210-451-5830,NJ,Princeton,Y
609-978-1339,TX,Corpus Christi,Y
361-501-5476,PA,Bristol,Y
215-286-9640,CA,West Sacramento,Y
916-315-7926,NV,Las Vegas,N
702-851-9836,PA,Philadelphia,N
215-245-7786,WA,Appleton,N
509-907-1049,AK,Anchorage,Y
907-501-9475,NV,Las Vegas,Y
702-342-9571,GA,Marietta,Y
770-635-9857,NY,Ridgewood,Y
718-400-7061,UT,Provo,N
801-258-6221,NJ,East Brunswick,N
732-688-2974,FL,Floral City,Y
352-294-1129,CA,Sun Valley,Y
818-284-4654,MI,Kalamazoo,Y
269-458-5851,PA,Pottstown,Y
610-398-2442,OR,Beaverton,Y
503-655-5574,CO,Denver,Y
303-967-9854,NJ,Vineland,N
856-501-8115,TX,Edinburg,N
956-987-6225,TN,Memphis,N
901-435-6218,IL,Chicago,Y
773-493-9619,OH,Cleveland,Y
216-399-5926,OR,Medford,Y
541-518-7163,CT,North Haven,Y
203-335-9506,NJ,Jersey City,N
201-974-1157,NJ,Manville,N
908-714-2001,NJ,Bloomfield,Y
973-411-2203,CA,Huntington Park,Y
323-856-2940,CA,San Diego,Y
858-409-4602,OH,Fairfield,Y
513-719-6108,NJ,Ramsey,Y
201-356-2904,MN,Minneapolis,Y
763-374-8052,CO,Colorado Springs,N
719-513-3411,TX,Plano,N
972-981-6526,PA,Stroudsburg,N
570-500-1266,RI,Woonsocket,Y
401-941-9821,CA,Compton,Y
310-904-7587,CA,Salinas,Y
831-620-2739,IN,Indianapolis,Y
317-734-2147,OH,Dayton,N
937-252-6072,GA,Atlanta,N
404-808-3195,IL,Chicago,Y
312-656-2141,NJ,Somerville,Y
908-746-5176,CO,Boulder,Y
303-303-3761,OR,Portland,Y
503-573-3918,NJ,Plainfield,Y
908-865-4118,NV,Reno,Y
775-747-5166,CA,Long Beach,N
562-349-1965,IL,Moline,N
309-625-6002,NY,New York,N
212-829-5587,NY,Staten Island,Y
718-417-6494,CA,Poway,Y
858-868-4573,LA,Morgan City,Y
985-313-1337,CA,Santa Ana,Y
714-427-7469,NJ,Paulsboro,N
856-551-7691,NY,New Rochelle,N
914-509-6965,NJ,Mountainside,Y
908-723-5466,NY,New York,Y
212-546-4902,NJ,Toms River,Y
732-413-9794,CA,San Carlos,Y
650-531-2900,NY,Elmsford,Y
914-895-3564,TX,Waco,Y
254-874-4180,CO,Littleton,N
303-517-6082,CA,Los Angeles,N
310-877-8195,MS,Gulfport,N
228-857-2345,PA,Pittsburgh,Y
412-357-9983,NY,Staten Island,Y
718-878-4923,NJ,East Rutherford,Y
201-431-1046,NJ,Belleville,Y
973-279-3147,NJ,Point Pleasant Beach,N
732-996-1979,PA,Scranton,N
570-586-9761,VA,Arlington,Y
703-677-8123,MI,Dearborn,Y
313-279-8854,IL,Downers Grove,Y
630-420-2522,TX,Laredo,Y
956-777-9354,NJ,Garfield,Y
973-251-8450,CO,Boulder,Y
303-490-7989,TX,Abilene,N
325-528-6088,NE,Omaha,N
402-454-8875,OH,Akron,N
330-977-9473,FL,Miami,Y
305-429-2223,IA,Bettendorf,Y
563-763-5563,OR,Lake Oswego,Y
503-341-7815,AZ,Phoenix,Y
602-662-3201,MI,Lansing,N
517-410-4639,NV,Las Vegas,N
702-491-7798,CA,Stockton,Y
209-460-9780,NM,Arroyo Seco,Y
505-840-6049,TX,Longview,Y
903-553-7211,CA,Arcata,Y
707-313-1396,CO,Commerce City,Y
303-930-2650,NY,Commack,Y
631-702-8781,CA,Santa Rosa,N
707-719-1639,NV,Las Vegas,N
702-913-9709,NY,New York,N
212-327-8423,TX,Dallas,Y
214-914-5706,NY,Webster,Y
585-606-3837,CA,San Jose,Y
408-431-6141,CA,Emeryville,Y
510-306-6922,IN,Rensselaer,N
219-825-1391,MA,Fall River,N
508-545-8857,TX,Baytown,Y
281-743-9479,CA,Los Angeles,Y
323-978-6551,CO,Denver,Y
303-303-2140,TX,Houston,Y
713-822-4051,MA,Wilmington,Y
978-228-3421,NV,Las Vegas,Y
702-779-8172,IA,Davenport,N
563-781-3455,NJ,Secaucus,N
201-443-1991,VT,Colchester,N
802-827-8164,NE,Omaha,Y
402-957-8326,WI,Milwaukee,Y
414-536-4254,CT,New Haven,Y
203-991-7733,WA,Bellevue,Y
425-612-2849,NY,Cicero,N
315-563-5519,TX,North Richland Hills,N
817-551-7080,VA,Danville,Y
434-351-2277,GA,Clayton,Y
706-630-8435,VA,Newport News,Y
757-402-7765,CA,Santa Barbara,Y
805-917-1177,MD,Towson,Y
410-351-4364,MD,Dundalk,Y
410-648-5481,NJ,Irvington,N
973-844-7636,FL,Tallahassee,N
850-672-5422,NY,New York,N
212-932-3265,MA,North Attleboro,Y
508-209-5479,CA,San Jose,Y
408-454-1955,FL,Boca Raton,Y
561-320-2992,NY,New York,Y
212-813-6625,GA,La Fayette,N
706-686-3638,FL,Tampa,N
813-457-6295,CA,Vallejo,Y
707-309-3531,MA,Westford,Y
978-239-4057,PA,Feasterville Trevose,Y
215-268-1510,CA,Campbell,Y
408-974-3449,MN,Osseo,Y
763-500-4888,LA,Lafayette,Y
337-564-4403,VT,Saint Johnsbury,N
802-295-7235,NY,Pelham,N
914-525-8016,LA,Lafayette,N
337-798-5011,NE,Omaha,Y
402-776-5456,NY,Staten Island,Y
718-442-2002,MN,Minneapolis,Y
612-591-2098,NJ,Kearny,Y
201-892-9423,OR,Portland,N
503-725-9751,NY,Syosset,N
516-724-8024,CA,Fresno,Y
559-412-5777,CO,Colorado Springs,Y
719-850-1181,CA,Oakland,Y
510-779-9011,TX,El Paso,Y
915-891-1156,CA,Winnetka,Y
818-374-1478,CA,Hayward,Y
510-288-9146,MA,Shrewsbury,N
508-894-3027,NY,Mamaroneck,N
914-496-7133,TX,Corpus Christi,N
361-575-3024,CA,Richmond,Y
510-965-7759,IL,Schaumburg,Y
847-957-3178,FL,Orlando,Y
407-847-8598,PA,Philadelphia,Y
215-356-6013,FL,Brooksville,N
352-692-1474,TX,Houston,N
713-843-2056,OH,Canton,Y
330-252-3028,MN,Minneapolis,Y
952-592-3265,GA,Brunswick,Y
912-997-3765,CA,Pittsburg,Y
925-733-1394,NJ,Trenton,Y
609-210-4497,NY,New York,Y
212-204-5467,CA,La Puente,N
626-368-9691,IL,Saint Charles,N
630-362-3597,NJ,Trenton,N
609-720-5806,OH,Canton,Y
330-837-1087,CA,San Francisco,Y
415-814-5034,FL,Hialeah,Y
305-340-5406,MI,Ferndale,Y
248-463-6492,IN,Elkhart,N
574-418-7640,NJ,Woodbridge,N
732-293-7570,NY,Middle Island,Y
631-710-8438,CO,Denver,Y
303-998-5535,ID,Boise,Y
208-482-4082,NY,Elmhurst,Y
718-211-3519,NY,Staten Island,Y
718-360-7202,PA,Philadelphia,Y
215-513-9372,CA,Thousand Palms,N
760-637-8454,GA,Albany,N
229-710-1856,IL,Chicago,N
773-262-1093,PA,Philadelphia,Y
215-807-5064,NY,Farmingdale,Y
516-373-3033,CA,Glendale,Y
818-870-9979,OR,Salem,Y
503-510-1619,NJ,Long Branch,N
732-556-7676,CA,Los Angeles,N
310-426-8917,CA,Yucca Valley,Y
760-779-8368,NY,Garden City,Y
516-238-6997,NY,New Hyde Park,Y
516-304-2205,TX,Houston,Y
713-878-6363,NJ,Linden,Y
908-681-8919,VA,Fairfax,Y
703-537-2632,VA,Annandale,N
703-556-9609,CO,Boulder,N
303-686-3859,MI,Saginaw,N
989-931-3643,FL,Orlando,Y
407-626-4511,CA,Gardena,Y
310-715-3225,TX,Conroe,Y
936-307-3963,TX,Abilene,Y
325-336-8673,TX,Duncanville,N
972-906-5762,AR,Springdale,N
479-785-7869,CA,San Francisco,Y
415-439-7883,NJ,South Plainfield,Y
908-296-5931,NJ,Princeton Junction,Y
609-511-8720,TX,Amarillo,Y
806-470-9282,CA,Poway,Y
858-230-7500,MT,Missoula,Y
406-776-2132,CA,Daly City,N
650-647-8887,AZ,Phoenix,N
602-344-3475,TX,Austin,N
512-201-6536,NJ,Vineland,Y
856-828-3775,TX,Cedar Hill,Y
972-697-7442,IN,Indianapolis,Y
317-961-9436,CO,Arvada,Y
303-418-3772,AZ,Phoenix,N
602-606-7030,NE,Omaha,N
402-278-8477,NJ,Kearny,Y
201-383-3459,HI,Honolulu,Y
808-437-1798,PA,Greensburg,Y
724-628-2895,NJ,Bridgewater,Y
908-843-4629,CA,San Leandro,Y
510-237-9085,OR,West Linn,Y
503-801-5123,PA,East Stroudsburg,N
570-496-7240,NY,Webster,N
585-414-8010,TX,Arlington,N
817-366-7797,MD,Baltimore,Y
410-803-1296,NH,Springfield,Y
603-670-4232,NJ,Belleville,Y
973-663-4263,MI,Alpena,Y
989-876-4587,FL,Leesburg,N
352-531-4995,CA,Van Nuys,N
818-833-2308,PA,Southampton,Y
215-628-3707,CA,Torrance,Y
310-704-4679,NJ,Hackensack,Y
201-443-7075,CA,Culver City,Y
310-668-4447,CA,Anaheim,Y
714-299-5184,IL,Greenville,Y
618-675-1473,IL,Champaign,N
217-495-1142,MA,Springfield,N
413-284-8208,NJ,Trenton,N
609-550-7866,DC,Washington,Y
202-410-9994,PA,Monroeville,Y
412-425-4356,NV,Las Vegas,Y
702-378-9467,NY,New York,Y
212-944-9307,OH,Columbus,N
614-994-5492,TN,Old Hickory,N
615-679-6723,ID,Boise,Y
208-915-7865,PA,Philadelphia,Y
215-229-7781,NJ,Moorestown,Y
856-207-9731,CA,Monterey,Y
831-597-1777,NJ,Berlin,Y
856-668-6758,CA,Modesto,Y
209-375-1108,CA,Long Beach,N
562-605-6474,LA,Prairieville,N
225-428-3531,MI,Dearborn,N
313-631-2064,ID,Boise,Y
208-636-6193,TX,Houston,Y
713-520-4980,CA,Hayward,Y
510-726-8534,CA,Montclair,Y
909-820-7026,NY,Staten Island,N
718-430-5998,CA,Novato,N
415-834-7516,HI,Haleiwa,Y
808-956-8077,CO,Longmont,Y
303-495-4230,MI,Romulus,Y
734-661-9787,NY,Fairport,Y
585-929-9551,CA,San Gabriel,Y
626-280-2479,CA,San Luis Obispo,Y
805-648-4005,RI,East Greenwich,N
401-717-6554,NJ,Andover,N
973-785-5217,CA,Glendale,N
818-697-7730,MD,Baltimore,Y
410-781-7856,NJ,Bridgewater,Y
908-279-9848,TX,Dallas,Y
972-332-4032,NY,Rochester,Y
585-254-5270,IL,Chicago,N
312-728-4758,NY,Bronx,N
718-562-2995,IA,Davenport,Y
563-619-5712,LA,Houma,Y
985-468-8515,OH,Ashland,Y
419-842-4631,CA,Yuba City,Y
530-442-7433,PA,Wynnewood,Y
610-385-3918,IN,Indianapolis,Y
317-470-8176,NJ,Trenton,N
609-455-8258,AZ,Phoenix,N
602-616-4196,NJ,Sussex,N
973-370-2965,IL,Melrose Park,Y
708-829-9069,MA,Attleboro,Y
508-752-3032,IL,Lisle,Y
630-823-3525,OK,Lawton,Y
580-904-1035,RI,Lincoln,N
401-242-7469,OH,Youngstown,N
330-359-1544,CO,Denver,Y
303-427-2915,WA,Bellevue,Y
425-698-4753,MN,Minneapolis,Y
612-259-7368,MA,Easton,Y
